Name,MapDate,DSCI
Texas,20240820,124
Texas,20240827,161
Texas,20240903,129
Texas,20240910,116
Texas,20240917,116
Texas,20240924,121
Texas,20241001,137
Texas,20241008,160
Texas,20241015,180
Texas,20241022,201
Texas,20241029,235
Texas,20241105,198
Texas,20241112,185
Texas,20241119,161
Texas,20241126,158
